epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,1341.61,0.68621,0.64062,1.09024,0.45361,0.51754,0.45478,0.1782,2.69895,1.7326,3.27224,0.000612383,0.000612383,0.000612383
138,1351.31,0.69342,0.64685,1.09654,0.50911,0.53667,0.46616,0.18477,2.69308,1.84555,3.1651,0.000608717,0.000608717,0.000608717
139,1361.11,0.6568,0.64056,1.07999,0.64551,0.41668,0.52892,0.20884,2.72515,1.84815,3.2421,0.000605051,0.000605051,0.000605051
140,1370.91,0.67918,0.64523,1.08769,0.50538,0.49336,0.51754,0.19689,2.72459,1.83207,3.21044,0.000601384,0.000601384,0.000601384
141,1380.68,0.67152,0.64697,1.09438,0.43563,0.52939,0.47375,0.18374,2.70395,1.87007,3.24166,0.000597718,0.000597718,0.000597718
142,1390.53,0.6928,0.66933,1.10144,0.49417,0.59385,0.48965,0.2038,2.63612,1.81136,3.22724,0.000594052,0.000594052,0.000594052
143,1400.22,0.69657,0.6681,1.10195,0.49355,0.46058,0.47856,0.21435,2.71125,1.8036,3.37233,0.000590385,0.000590385,0.000590385
144,1410.03,0.6661,0.64339,1.07709,0.52825,0.51663,0.51855,0.21461,2.70209,1.75086,3.33578,0.000586719,0.000586719,0.000586719
145,1419.91,0.65221,0.62393,1.07386,0.56967,0.5539,0.53651,0.21164,2.69336,1.79934,3.35028,0.000583053,0.000583053,0.000583053
146,1429.67,0.64669,0.62401,1.0836,0.54167,0.50023,0.48331,0.19077,2.71401,1.8067,3.32857,0.000579386,0.000579386,0.000579386
147,1439.4,0.65076,0.62885,1.07133,0.42657,0.44557,0.42982,0.17472,2.74505,1.8452,3.36934,0.00057572,0.00057572,0.00057572
148,1449.12,0.65388,0.62186,1.07586,0.45,0.48489,0.42686,0.16169,2.82683,1.82961,3.54349,0.000572054,0.000572054,0.000572054
149,1458.95,0.67484,0.65017,1.08954,0.44625,0.60291,0.50223,0.21136,2.65746,1.75279,3.25598,0.000568388,0.000568388,0.000568388
150,1468.72,0.62903,0.60126,1.06096,0.45123,0.47825,0.45303,0.16425,2.68068,1.7995,3.18679,0.000564721,0.000564721,0.000564721
151,1478.46,0.65263,0.61326,1.07192,0.48721,0.56633,0.50356,0.2082,2.69499,1.73886,3.294,0.000561055,0.000561055,0.000561055
152,1488.18,0.64659,0.63119,1.05972,0.53135,0.5799,0.52795,0.21324,2.76515,1.78926,3.3254,0.000557389,0.000557389,0.000557389
153,1497.94,0.63793,0.60216,1.06173,0.46982,0.46809,0.49142,0.18706,2.72682,1.80971,3.34443,0.000553722,0.000553722,0.000553722
154,1507.62,0.65116,0.6215,1.07165,0.41594,0.57739,0.51712,0.1936,2.72602,1.76809,3.35599,0.000550056,0.000550056,0.000550056
155,1517.49,0.64311,0.60596,1.06503,0.54117,0.5352,0.53193,0.20938,2.72021,1.78327,3.32137,0.00054639,0.00054639,0.00054639
156,1527.19,0.68134,0.6274,1.08206,0.53064,0.46992,0.48448,0.19979,2.74892,1.7167,3.36193,0.000542723,0.000542723,0.000542723
157,1536.88,0.65731,0.63414,1.08381,0.65297,0.46736,0.53098,0.21431,2.73649,1.70585,3.24549,0.000539057,0.000539057,0.000539057
158,1546.65,0.63653,0.61959,1.05517,0.47541,0.53176,0.50471,0.22313,2.64551,1.72266,3.20801,0.000535391,0.000535391,0.000535391
159,1556.5,0.63772,0.62892,1.05764,0.58303,0.56906,0.5677,0.22237,2.6632,1.75008,3.18999,0.000531725,0.000531725,0.000531725
160,1566.29,0.62411,0.60059,1.05136,0.50919,0.47313,0.49453,0.22034,2.70399,1.73094,3.23803,0.000528058,0.000528058,0.000528058
161,1575.97,0.6384,0.61192,1.07449,0.45205,0.62387,0.50046,0.20222,2.63302,1.7927,3.16956,0.000524392,0.000524392,0.000524392
162,1585.75,0.63074,0.59982,1.05699,0.43126,0.54795,0.50487,0.20134,2.6713,1.76994,3.20147,0.000520726,0.000520726,0.000520726
163,1595.48,0.63214,0.60453,1.05816,0.47844,0.49017,0.46957,0.18516,2.65743,1.83045,3.19698,0.000517059,0.000517059,0.000517059
164,1605.18,0.61011,0.5736,1.0614,0.39608,0.52794,0.43982,0.17364,2.73147,1.85468,3.22011,0.000513393,0.000513393,0.000513393
165,1614.9,0.61379,0.5992,1.04822,0.55247,0.46582,0.51538,0.21239,2.74077,1.78044,3.22537,0.000509727,0.000509727,0.000509727
166,1624.57,0.62689,0.59709,1.05178,0.52898,0.49196,0.49457,0.21832,2.68942,1.80708,3.14536,0.00050606,0.00050606,0.00050606
167,1634.26,0.58437,0.57321,1.02267,0.38786,0.53953,0.46306,0.17609,2.76474,1.74831,3.36166,0.000502394,0.000502394,0.000502394
168,1644.13,0.60146,0.56666,1.04124,0.60844,0.35501,0.50709,0.21393,2.72594,1.80871,3.29924,0.000498728,0.000498728,0.000498728
169,1653.87,0.61585,0.59194,1.04478,0.5359,0.42313,0.47574,0.1859,2.71352,1.82976,3.20699,0.000495062,0.000495062,0.000495062
170,1663.53,0.61358,0.60107,1.04958,0.37275,0.52172,0.40606,0.171,2.75174,1.77517,3.34889,0.000491395,0.000491395,0.000491395
171,1673.22,0.59882,0.59151,1.03965,0.45891,0.60826,0.49396,0.18238,2.75061,1.77116,3.41117,0.000487729,0.000487729,0.000487729
172,1683,0.63538,0.60995,1.05693,0.48397,0.54476,0.46731,0.19346,2.71872,1.76563,3.3568,0.000484063,0.000484063,0.000484063
173,1692.7,0.60853,0.58231,1.0308,0.46177,0.51148,0.4598,0.18963,2.66916,1.76005,3.18873,0.000480396,0.000480396,0.000480396
174,1702.46,0.60134,0.59489,1.04045,0.45176,0.5298,0.44031,0.19023,2.66989,1.77407,3.17227,0.00047673,0.00047673,0.00047673
175,1712.25,0.59472,0.57617,1.03816,0.48396,0.4948,0.47201,0.17804,2.72582,1.86046,3.22815,0.000473064,0.000473064,0.000473064
176,1722.06,0.58653,0.5735,1.03964,0.48367,0.57839,0.4867,0.20118,2.70947,1.79823,3.28099,0.000469397,0.000469397,0.000469397
177,1731.75,0.59644,0.57805,1.04012,0.4121,0.55013,0.45805,0.18343,2.68103,1.76275,3.24612,0.000465731,0.000465731,0.000465731
178,1741.6,0.60557,0.5859,1.03942,0.47254,0.48566,0.43956,0.17483,2.76872,1.78892,3.24197,0.000462065,0.000462065,0.000462065
